invoice_id,vendor_name,amount,currency,invoice_date,payment_status
INV-001,AWS,12000,USD,2026-06-01,Paid
INV-002,Oracle Corp,25000,USD,2026-06-02,Paid
INV-003,Microsoft Corporation,8500,USD,2026-06-03,Paid
INV-004,IBM Corporation,15000.50,USD,2026-06-04,Paid
INV-005,SFDC,6000,USD,2026-06-05,Pending
INV-006,GCP,18000,USD,2026-06-06,Paid
INV-007,Adobe Inc,4500,USD,2026-06-07,Paid
INV-008,Zoom,3000,USD,2026-06-08,Paid
INV-009,Slack,2500.25,USD,2026-06-09,Pending
INV-010,DataDog,5600,USD,2026-06-10,Paid
INV-011,Jira,7200,USD,2026-06-11,Paid
INV-012,JetBrains Inc,3500,USD,2026-06-12,Paid
INV-013,GitHub Inc,1200,USD,2026-06-13,Paid
INV-014,Figma,2800,USD,2026-06-14,Pending
INV-015,Stripe Inc,4200,USD,2026-06-15,Paid
INV-016,Twilio,3800,USD,2026-06-16,Paid
INV-017,Elasticsearch,5100,USD,2026-06-17,Paid
INV-018,K8S,2000,USD,2026-06-18,Paid
INV-019,MongoDB Inc,6500,USD,2026-06-19,Pending
INV-020,Redis,3200,USD,2026-06-20,Paid
INV-021,HashiCorp,4100,USD,2026-06-21,Paid
INV-022,Terraform Cloud,1500,USD,2026-06-22,Paid
INV-023,Red Hat,1800,USD,2026-06-23,Paid
INV-024,Docker,2200,USD,2026-06-24,Pending
INV-025,NVDA,35000,USD,2026-06-25,Paid
INV-026,INTC,28000,USD,2026-06-26,Paid
INV-027,Advanced Micro Devices,22000,USD,2026-06-27,Paid
INV-028,QCOM,18500,USD,2026-06-28,Paid
INV-029,Broadcom Inc,19000,USD,2026-06-29,Pending
INV-030,Marvell,12000,USD,2026-06-30,Paid
INV-031,SanDisk Corp,8700,USD,2026-07-01,Paid
INV-032,WDC,7600,USD,2026-07-02,Paid
INV-033,Seagate,6800,USD,2026-07-03,Paid
INV-034,Micron,9200,USD,2026-07-04,Pending
INV-035,Hynix,11000,USD,2026-07-05,Paid
INV-036,Samsung Electronics,32000,USD,2026-07-06,Paid
INV-037,Sony,15500,USD,2026-07-07,Paid
INV-038,LG Corp,13200,USD,2026-07-08,Paid
INV-039,AAPL,45000,USD,2026-07-09,Pending
INV-040,Lenovo,11000,USD,2026-07-10,Paid
INV-041,Hewlett Packard,9800,USD,2026-07-11,Paid
INV-042,Dell,28000,USD,2026-07-12,Paid
INV-043,Cisco,16500,USD,2026-07-13,Paid
INV-044,Juniper,12300,USD,2026-07-14,Pending
INV-045,Arista,8900,USD,2026-07-15,Paid
INV-046,Palo Alto,19000,USD,2026-07-16,Paid
INV-047,Fortinet Inc,7200,USD,2026-07-17,Paid
INV-048,CrowdStrike Holdings,11500,USD,2026-07-18,Paid
INV-049,Rapid7 Inc,5800,USD,2026-07-19,Pending
INV-050,Tenable,6400,USD,2026-07-20,Paid